location_identifier,location_target_encoded
Gulshan-e-Usman Housing Society - Karachi,9812500.0
Garden West - Karachi,8363120.567375886
Liaquatabad - Karachi,4715540.540540541
Valencia Housing Society - Lahore,26745714.285714287
Palm Villas - Lahore,5944074.074074074
Islampura - Lahore,11687037.037037035
Mansoorah - Lahore,12740740.74074074
Marghzar Officers Colony - Lahore,14458018.867924528
Wapda Town - Lahore,19991603.907637656
Mughalpura - Lahore,9385507.246376812
Saggian - Lahore,4316666.666666667
Shoukat Town - Lahore,7716666.666666667
Al Hamra Town - Lahore,12160000.0
Badami Bagh - Lahore,8684615.384615384
Gulistan Colony - Lahore,11666666.666666666
Lahore Motorway City - Lahore,5212121.212121212
OPF Housing Scheme - Lahore,22952432.43243243
Garden Town - Lahore,24200000.0
Ferozepur Road - Lahore,5228955.882352941
Township - Lahore,13848878.923766816
Babu Sabu - Lahore,4525000.0
Al Kareem Garden - Lahore,6646153.846153846
Nawab Town - Lahore,14290625.0
Chapal Uptown - Karachi,8634000.0
I-14 - Islamabad,13120833.333333334
D-17 - Islamabad,9079797.97979798
Tarlai - Islamabad,5440000.0
Simly Dam Road - Islamabad,5720000.0
I-9 - Islamabad,20930232.558139537
Burma Town - Islamabad,4219767.441860465
National Police Foundation O-9 - Islamabad,15172839.50617284
Islamabad Highway - Islamabad,9710133.333333334
The Springs - Islamabad,10627272.727272728
Jhang Syedan - Islamabad,4500000.0
Korang Town - Islamabad,14697916.666666666
Arsalan Town - Islamabad,4818421.052631579
Kashmir Highway - Islamabad,16996875.0
Usman Town - Faisalabad,5156250.0
Satiana Road - Faisalabad,11299504.95049505
Zulfiqar Colony - Faisalabad,5150000.0
Gulistan Colony - Rawalpindi,10643589.743589744
Airport Housing Society - Rawalpindi,9389318.885448916
Gulraiz Housing Scheme - Rawalpindi,13930672.268907564
Johar Town - Lahore,16982091.111111112
Punjab Small Industries Colony - Lahore,11543181.818181818
Shalimar Link Road - Lahore,13032500.0
Airline Housing Society - Lahore,22236000.0
Airport Road - Lahore,10106250.0
Kamahan Road - Lahore,4275000.0
Mehmood Booti - Lahore,3625000.0
Kot Lakhpat - Lahore,7069444.444444444
Pakki Thatti - Lahore,13242857.142857144
Canal View - Lahore,28790258.620689657
Al-Hafiz Town - Lahore,6333333.333333333
Gulshan-e-Lahore - Lahore,13328301.886792451
Qadri Colony - Lahore,5360000.0
Tariq Gardens - Lahore,19861250.0
Hameedpura - Lahore,4683333.333333333
Empress Road - Lahore,7000000.0
Khayaban-e-Jinnah Road - Lahore,12743400.0
Ahmad Housing Society - Lahore,7380000.0
Jallo Park Road - Lahore,7728571.428571428
Green Cap Housing Society - Lahore,6626760.563380281
Bismillah Housing Scheme - Lahore,8374800.0
Fateh Garh - Lahore,6516666.666666667
GT Road - Lahore,6885000.0
Jubilee Town - Lahore,10436689.18918919
Park View Villas - Lahore,11326648.351648351
Sant Nagar - Lahore,12917647.05882353
Al Rehman Garden - Lahore,7756083.650190114
Harbanspura - Lahore,8383442.622950819
Lalazar - Lahore,7270238.095238095
Gulshan-e-Rafique - Faisalabad,6040000.0
Rachna Town - Faisalabad,7709090.909090909
Eden Valley - Faisalabad,17478260.86956522
Ghalib City - Faisalabad,6412500.0
Sargodha Road - Faisalabad,11781818.181818182
Samundari Road - Faisalabad,8095588.235294118
Jaranwala - Faisalabad,5454545.454545454
Baloch Colony - Karachi,16155555.555555556
Manzoor Colony - Karachi,8591666.666666666
Delhi Colony - Karachi,4680519.48051948
Airport - Karachi,11973809.523809524
I-10 - Islamabad,18562815.789473683
Pir Sohawa - Islamabad,9692000.0
Ali Pur - Islamabad,5508571.428571428
FECHS - Islamabad,11699099.0990991
Shaheen Town - Islamabad,8051470.588235294
Afshan Colony - Rawalpindi,11119354.838709677
Ghous-e-Azam Road - Rawalpindi,8456250.0
Peshawar Road - Rawalpindi,12882352.94117647
Girja Road - Rawalpindi,4379166.666666667
Dhoke Banaras Road - Rawalpindi,6060000.0
Chaklala Scheme - Rawalpindi,16232191.780821918
PWD Colony - Rawalpindi,8733333.333333334
Gulzar-e-Quaid Housing Society - Rawalpindi,10466071.42857143
New Lalazar - Rawalpindi,16430303.030303031
Ashraf Garden - Lahore,6000000.0
Al-Kabir Town - Lahore,4788451.327433628
Nishat Colony - Lahore,6709722.222222222
College Road - Lahore,9628431.37254902
Aashiana Road - Lahore,4965853.658536585
Ali View Park - Lahore,12280800.0
Divine Gardens - Lahore,17426136.363636363
Rail Town (Canal City) - Lahore,16166666.666666666
Bahria Nasheman - Lahore,9450877.192982456
Ghaziabad - Lahore,5959375.0
Kahna - Lahore,3886440.6779661016
Doctors Housing Society - Lahore,19700000.0
Vital Homes Housing Scheme - Lahore,6600000.0
