location_identifier,location_target_encoded
Umer Garden - Faisalabad,9500000.0
Ahmad Avenue - Lahore,8437500.0
Sufiabad - Lahore,3100000.0
Judicial Colony - Lahore,20854166.666666668
Al Noor Town - Lahore,18040000.0
Gosha-e-Ahbab - Lahore,7736000.0
Khuda Ki Basti - Karachi,2475000.0
MT Khan Road - Karachi,11860000.0
Hawks Bay Scheme 42 - Karachi,14200000.0
Gulistan Colony No 2 - Faisalabad,18000000.0
Quaid-e-Azam Park - Faisalabad,4700000.0
Zeeshan Colony - Rawalpindi,9933333.333333334
Rail View Housing Society - Rawalpindi,5030555.555555556
Tipu Road - Rawalpindi,9833333.333333334
Kacheri Chowk - Rawalpindi,35000000.0
Askari 9 - Rawalpindi,25000000.0
Faiz Bagh - Lahore,11700000.0
Al Jannat Housing Scheme - Lahore,3650000.0
Manzoor Colony - Lahore,6366666.666666667
Jaffaria Colony - Lahore,8150000.0
Lahore Garden Housing Scheme - Lahore,6874324.324324325
Walton Railway Officers Colony - Lahore,11880000.0
Rawal Town - Islamabad,22875000.0
Tariqabad - Faisalabad,7416666.666666667
Badar Colony - Rawalpindi,7500000.0
Chaklala - Rawalpindi,7411111.111111111
Jallo - Lahore,4731666.666666667
Cotton Export Cooperative Housing Society - Karachi,9757142.857142856
Kamran Chowrangi - Karachi,11647368.421052633
Gizri Road - Karachi,7675000.0
Peoples Colony - Karachi,8200000.0
Daniyal Town - Faisalabad,3425000.0
Gobind Pura - Faisalabad,10750000.0
Bostan Valley - Rawalpindi,13400000.0
Ranial - Rawalpindi,4875000.0
Gulfishan Colony - Lahore,28666666.666666668
LDA Avenue - Lahore,16791666.666666668
Abid Market - Lahore,2550000.0
Shadman 2 - Lahore,15000000.0
Saggian Wala Bypass Road - Lahore,5162500.0
Gul-e-Damin - Lahore,20166666.666666668
PASSCO Housing Society - Lahore,19250000.0
P & D Housing Society - Lahore,16033333.333333334
Sheraz Town - Lahore,5476315.7894736845
Lyari Expressway - Karachi,3070833.333333333
Bilal Town - Karachi,8250000.0
Steam Power Station Colony - Faisalabad,8500000.0
Sher Shah Road - Lahore,12750000.0
Gulshan Park - Lahore,7800000.0
Mohlanwal Road - Lahore,6187500.0
Hill Park - Karachi,20312500.0
Karim Town - Faisalabad,8600000.0
Sitara Colony - Faisalabad,5916666.666666667
Faisal Colony - Rawalpindi,10933333.333333334
College Road - Rawalpindi,17750000.0
Gulshan-e-Shamal - Rawalpindi,3000000.0
Zubaida Park - Lahore,14437500.0
Clifton Colony - Lahore,7659459.459459459
Green Avenue - Islamabad,17673913.04347826
Frash Town - Islamabad,3640000.0
Tali Mori - Rawalpindi,5200000.0
Al-Hamd Park - Lahore,6410000.0
Temple Road - Lahore,18750000.0
Rehman City - Phase 4 - Lahore,4400000.0
Nai Abadi Harbanspura - Lahore,6000000.0
Education Town - Lahore,20733333.33333333
Khokhar Town - Lahore,5500000.0
Sarwar Town - Lahore,3630000.0
Abdali Road - Lahore,19620000.0
Swan Garden - Islamabad,13715384.615384616
Thalian - Islamabad,5212500.0
Kalma Chowk - Lahore,10500000.0
Satellite Town - Faisalabad,4875000.0
Raja Colony - Faisalabad,9000000.0
Officers Colony - Faisalabad,19333333.33333333
Ahmad Abad - Rawalpindi,5250000.0
Chaudhary Wilayat Khan Road - Rawalpindi,7566666.666666667
Rustam Park - Lahore,4925000.0
Kotli Abdur Rahman - Lahore,3333333.333333333
Grand Avenues Housing Scheme - Lahore,5142857.142857143
Chaudhary Park - Lahore,11900000.0
Raheem Gardens - Faisalabad,6125000.0
Madan Pura - Faisalabad,5250000.0
Lahore - Sheikhupura - Faisalabad Road - Faisalabad,5089473.684210527
Walait Homes - Rawalpindi,13000000.0
Kharak - Lahore,4565000.0
Canal Fort II - Lahore,9254545.454545457
AR Cottages - Lahore,11500000.0
Fateh Villas - Lahore,5900000.0
Combo Colony - Lahore,4500000.0
NFC 1 - Lahore,30020754.71698113
Hakim Town - Lahore,3675000.0
New Shakrial - Islamabad,5440000.0
Sihala - Islamabad,15500000.0
Lower Mall - Lahore,2000000.0
Qazi Town - Lahore,6233333.333333333
Riaz ul Jannah - Faisalabad,12500000.0
Millat Road - Faisalabad,6283333.333333333
Samanabad - Faisalabad,9255333.333333334
Nishatabad - Faisalabad,3833333.3333333335
Canal Garden - Faisalabad,14166666.666666666
Mangral Town - Rawalpindi,7928571.428571428
Amarpura - Rawalpindi,13700000.0
Hanif Park Harbanspura - Lahore,8137500.0
Sanda Road - Lahore,10800000.0
Mustafa Abad - Lahore,10150000.0
Scheme 45 - Karachi,6072117.647058823
Magistrate Colony - Rawalpindi,7400000.0
Siddiqia Colony - Lahore,5500000.0
China Scheme - Lahore,8859523.80952381
Shaheed-e-Millat Expressway - Karachi,17500000.0
Amir Khusro - Karachi,24590909.09090909
Civil Lines - Karachi,29168627.45098039
AGHOSH - Islamabad,25000000.0
Thanda Pani - Islamabad,4855555.555555556
Bankers Co-operative Housing Society - Lahore,15527659.574468086
Waris Colony - Lahore,6050000.0
Bahar Colony - Lahore,17285714.285714287
Rasool Park - Lahore,12705263.157894736
Krishan Nagar - Lahore,18700000.0
Ali Housing Colony - Faisalabad,7875000.0
Khawaja Islam Road - Faisalabad,27500000.0
Ahmadabad - Faisalabad,5420000.0
GT Road - Rawalpindi,6455555.555555556
UET Housing Society - Lahore,21230769.230769232
Alia Town - Lahore,3500000.0
Waris Road - Lahore,21333333.33333333
Sakhi Hassan Chowrangi - Karachi,4454444.444444444
Naval Colony - Karachi,9320833.333333334
Koral Chowk - Islamabad,4783333.333333333
PECHS - Islamabad,11250000.0
Chauburji Park Road - Lahore,21400000.0
Asim Town - Lahore,5533333.333333333
Nemat Colony No 2 - Faisalabad,7157142.857142857
Kaleem Shaheed Colony No 2 - Faisalabad,5800000.0
Liaquat Town - Faisalabad,6200000.0
Babuwala - Faisalabad,6333333.333333333
Gulbahar Scheme - Rawalpindi,4714285.714285715
New Afzal Town - Rawalpindi,6333333.333333333
Chanman Abad - Rawalpindi,3020000.0
Chinar Bagh - Lahore,12586666.666666666
Sheikhupura Road - Lahore,11050000.0
Islam Nagar - Lahore,10100000.0
Abdul Sattar Edhi Road - Lahore,14833333.333333334
Heaven Homes - Lahore,9825000.0
Kot Khawaja Saeed - Lahore,12575000.0
Kachupura - Lahore,13833333.333333334
Hajvery Housing Scheme - Lahore,11754545.454545457
Makki Complex - Lahore,5850000.0
Sultan Town - Lahore,19066666.666666668
Ameer-ud-Din Park - Lahore,8833333.333333334
Makkah Garden - Faisalabad,7000000.0
Al Najaf Colony - Faisalabad,8700000.0
Bakra Mandi - Rawalpindi,7050000.0
Dhoke Syedan - Rawalpindi,5806250.0
Jumma Market - Rawalpindi,4500000.0
Manga - Raiwind Road - Lahore,4600000.0
Millat Colony - Lahore,4300000.0
Kemari Town - Karachi,5460000.0
BMCHS - Karachi,19581666.666666668
PAF Tarnol - Islamabad,12500000.0
Wafaqi Colony - Lahore,6827272.727272728
Youhanabad - Lahore,4528571.428571428
Kahna Kacha - Lahore,4675000.0
Cantt View Society - Lahore,17500000.0
Kareem Garden - Faisalabad,10000000.0
Transformer Chowk - Rawalpindi,6525000.0
Commercial Market - Rawalpindi,19642857.14285714
ASF Tower - Karachi,5720000.0
Lines Area - Karachi,4100000.0
Frere Town - Karachi,28194444.444444444
Golimar - Karachi,7209677.419354838
Government Employees Cooperative Housing Society (GECHS) - Lahore,29166666.666666668
Ismail Green Valley - Faisalabad,6600000.0
Canal Expressway - Faisalabad,12642857.142857144
Janjua Town - Rawalpindi,5883333.333333333
Khanna Road - Rawalpindi,6633333.333333333
Tipu Sultan Road - Karachi,28454545.454545453
Tariq Road - Karachi,15896296.296296297
Al Fajar Society - Lahore,3850000.0
Lawrence Road - Lahore,20590909.09090909
Shah Di Khoi - Lahore,10050000.0
Jail Road - Lahore,13714285.714285716
Rajpoot Town - Lahore,17700000.0
Shahpur Kanjra - Lahore,5050000.0
Hanjarwal - Lahore,6750000.0
Shah Kamal Road - Lahore,6720000.0
Chah Miran - Lahore,9814285.714285716
Partab Nagar - Faisalabad,6650000.0
Johar Colony - Faisalabad,3550000.0
Waris Pura - Faisalabad,5550000.0
Dhandharan Chak 66 JB - Faisalabad,5333333.333333333
Gawal Mandi - Rawalpindi,10250000.0
Air Force Housing Society - Rawalpindi,30200000.0
Kalma Chowk - Rawalpindi,8500000.0
Korangi Road - Karachi,8421739.130434783
Lalukhet - Karachi,6785714.285714285
Allama Iqbal Road - Lahore,8750000.0
Sherwani Town Housing Scheme - Lahore,7625000.0
Elite Town - Lahore,6126923.076923077
Green City - Lahore,18854545.454545453
Dheri Hassanabad - Rawalpindi,7633333.333333333
Bahar Colony - Rawalpindi,4300000.0
Defence Colony - Rawalpindi,20833333.33333333
Munawar Colony - Rawalpindi,7633333.333333333
Shah Town - Karachi,5783333.333333333
Pakistan Chowk - Karachi,7511111.111111111
Cutchi Memon Cooperative Housing Society - Karachi,20750000.0
Rufi Lake Drive Apartments - Karachi,12066666.666666666
Sarai Kharbuza - Islamabad,4662500.0
7th Avenue - Islamabad,43000000.0
Japan Road - Islamabad,3500000.0
Malik Park - Lahore,6700000.0
Saidpur - Lahore,3550000.0
Azadi Chowk - Lahore,19000000.0
Punjab Govt. Servants Housing Foundation - Faisalabad,6275000.0
Holy Family Road - Rawalpindi,16666666.666666666
Dhok Naju - Rawalpindi,12500000.0
Gobal Town - Karachi,6500000.0
Aria Mohalla - Rawalpindi,12933333.333333334
Rana Town - Lahore,4655000.0
Ameen Park - Lahore,9925000.0
Dholanwal - Lahore,7433333.333333333
Sitara Colony - Lahore,8166666.666666667
Canalberg Housing Society - Lahore,13500000.0
Marwa Town - Islamabad,5349285.714285715
Kehkishan Colony No 1 - Faisalabad,8500000.0
Ismail Valley - Faisalabad,8250000.0
Susan Road - Faisalabad,20666666.666666668
Shaheen Town - Rawalpindi,8400000.0
Chah Sultan - Rawalpindi,13500000.0
Shakrial - Rawalpindi,5633333.333333333
Pir Wadhai - Rawalpindi,8350000.0
Lytton Road - Lahore,8000000.0
Lahore - Jaranwala Road - Lahore,4336000.0
Nasirabad - Lahore,7666666.666666667
Sea View Apartments - Karachi,37825000.0
Naya Nazimabad - Karachi,11982222.222222222
D-14 - Islamabad,4750000.0
Mumtaz City - Islamabad,12366666.666666666
Imran Road - Faisalabad,11500000.0
Nadeem Town - Lahore,6840000.0
Singhpura - Lahore,9416666.666666666
Al Hamad Colony - Lahore,6713571.428571428
Zaitoon Colony - Lahore,11200000.0
Nazir Garden Society - Lahore,8475000.0
Mian Colony - Lahore,9500000.0
TIP Housing Society - Lahore,17160000.0
Teacher Society - Karachi,6800000.0
Lawyers Society - Islamabad,5800000.0
E-12 - Islamabad,18100000.0
Taj Colony - Faisalabad,7333333.333333333
Rabbani Colony - Faisalabad,9116666.666666666
Nawaz Colony - Rawalpindi,7940000.0
Madina Town - Lahore,9055555.555555556
Sahafi Colony - Lahore,22285714.285714287
Royal Residencia - Lahore,11875000.0
Shadman 1 - Lahore,17542857.14285714
Khaira - Lahore,4000000.0
Maskan Chowrangi - Karachi,8610000.0
Gulshan Colony - Faisalabad,11333333.333333334
Mohammad Nagar - Faisalabad,4050000.0
Saifabad - Faisalabad,6225000.0
Khayaban-e-Faisal - Rawalpindi,18750000.0
Ravi Road - Lahore,13888888.888888888
Aitchison Society - Lahore,15814285.714285716
Gawala Colony - Lahore,30000000.0
Nizamabad - Lahore,4362500.0
Islamabad Colony - Lahore,4707500.0
Ashrafi Town - Lahore,4500000.0
Chak Jhumra - Faisalabad,5000000.0
Sir Syed Chowk - Rawalpindi,9060000.0
Lakhodher - Lahore,7050000.0
Wyeth Employees Coop Housing - Lahore,16000000.0
Dream Villas - Lahore,16666666.666666666
Habibullah Road - Lahore,19000000.0
Ittehad Colony - Lahore,9950000.0
Sohan Valley - Islamabad,6912500.0
G-6 - Islamabad,24050000.0
Daewoo Road - Faisalabad,17500000.0
New Green Town - Faisalabad,7500000.0
Himat Pura - Faisalabad,5500000.0
Ghaziabad - Rawalpindi,3841666.6666666665
Ibrahim Colony - Lahore,2300000.0
Al Haram Garden - Lahore,3000000.0
Jia Baga Road - Lahore,12000000.0
Karbath - Lahore,12000000.0
Shadman 2 - Karachi,11485384.615384616
Punjab Colony - Karachi,4554000.0
Yasrab Colony - Faisalabad,8500000.0
Bawa Chack 120 JB - Faisalabad,8600000.0
Santpura - Faisalabad,13750000.0
People Colony - Rawalpindi,5280000.0
PIA Colony - Rawalpindi,9625000.0
Dhok Chiragh Din - Rawalpindi,8000000.0
Guldasht Town - Lahore,17822222.222222224
Qartaba Chowk - Lahore,2950000.0
Wahdat Colony - Lahore,9737500.0
Mahmoodabad - Faisalabad,7766666.666666667
Haji Abad - Faisalabad,6766333.333333333
Faisal Town - Faisalabad,12550000.0
Friends Colony - Rawalpindi,9000000.0
Clifton Township - Rawalpindi,8675000.0
Lalarukh Colony - Rawalpindi,5125000.0
Dhok Kala Khan - Rawalpindi,8200000.0
Wocland Villas - Lahore,9800000.0
Davis Road - Lahore,8740000.0
PTV Society - Karachi,9911111.111111112
Madina Gardens - Faisalabad,8833333.333333334
Ashraf Colony - Rawalpindi,5633333.333333333
Sabzazar - Rawalpindi,15625000.0
Bankers Colony - Rawalpindi,3800000.0
National Town - Lahore,9385714.285714284
Ali View Garden - Lahore,11872727.272727272
Rajgarh Road - Lahore,15250000.0
Dalmia Cement Factory Road - Karachi,13385714.285714284
Khayaban Gardens - Faisalabad,13700000.0
Chandni Chowk - Rawalpindi,21760000.0
Waris Khan - Rawalpindi,13950000.0
Prem Nagar - Lahore,3500000.0
Immad Garden Housing Scheme - Lahore,5240000.0
Jan Muhammad Road - Lahore,8000000.0
Labor Colony - Lahore,1706687.5
Aman Town - Lahore,4800000.0
Agrics Town - Lahore,16500000.0
Jhaal Chowk - Faisalabad,16000000.0
Ghauri Town - Rawalpindi,9700000.0
Race Course - Rawalpindi,25100000.0
Cantt - Rawalpindi,24000000.0
Mall Road - Lahore,7650000.0
Lahore - Islamabad Motorway - Lahore,3351500.0
Al-Hamad Colony (AIT) - Lahore,6946666.666666667
DHA City - Lahore,18000000.0
Haji Park Housing Scheme - Lahore,5266666.666666667
Bhaini Road - Lahore,11200000.0
Lahore - Kasur Road - Lahore,5240000.0
Afghanabad - Faisalabad,7166666.666666667
Raja Bazar - Rawalpindi,12500000.0
Toheed Park - Lahore,12750000.0
Rawal Road - Rawalpindi,10625000.0
Ghausia Colony - Lahore,10343750.0
Jamil Town - Lahore,7166666.666666667
Eden Park - Lahore,27750000.0
Gulberg Valley - Faisalabad,7000000.0
Zubair Colony - Faisalabad,2700000.0
Islamia Park - Faisalabad,6333333.333333333
Khurram Colony - Rawalpindi,5450000.0
Professors Colony - Rawalpindi,13000000.0
City Villas - Rawalpindi,12500000.0
Punjab Government Servant Housing Foundation (PGSHF) - Rawalpindi,6500000.0
Park Road - Islamabad,10060714.285714284
Land Breeze Housing Society - Lahore,9075333.333333334
Acro Green - Bankers Avenue - Lahore,17062500.0
Data Ganj Bakhsh Town - Lahore,8100000.0
Civil Lines - Faisalabad,5750000.0
Rehman Town - Faisalabad,14750000.0
Shams Abad - Rawalpindi,12662500.0
Saidpur Road - Rawalpindi,20487500.0
Mauripur Road - Karachi,3500000.0
Azeem Garden Shahdara - Lahore,4687500.0
Guru Mandir Chorangi - Karachi,12928571.42857143
Khudadad Colony - Karachi,9875000.0
Munianwala - Faisalabad,6750000.0
Nisbat Road - Lahore,12000000.0
Siddiqia Society (College Road) - Lahore,6000000.0
Altaf Colony - Lahore,4000000.0
I. I. Chundrigar Road - Karachi,7266666.666666667
Chattar - Islamabad,11054545.454545457
Hassan Villas - Faisalabad,9500000.0
Dhok Mangtal - Rawalpindi,4466666.666666667
Chakri - Rawalpindi,5750000.0
Tariq Ismail Road - Lahore,12500000.0
Atari Saroba - Lahore,6433333.333333333
Qayyumabad - Karachi,10060000.0
Chibban - Faisalabad,5250000.0
Sitara Sapna City - Faisalabad,35900000.0
Mason Road - Lahore,26500000.0
Dubban Pura - Lahore,4183333.3333333335
Excise & Taxation Housing Scheme - Lahore,14250000.0
Sitara Valley - Faisalabad,13133333.333333334
Sami Town - Lahore,9734782.608695652
Chapal Courtyard - Karachi,11616666.666666666
Dr Daud Pota Road - Karachi,30500000.0
Millat Chowk - Faisalabad,7000000.0
Gulbahar Park - Lahore,21000000.0
Nadeem Shaheed Road - Lahore,9323000.0
Gatwala Park Road - Faisalabad,4600000.0
Babar Colony - Rawalpindi,8050000.0
Gorakhpur - Rawalpindi,7200000.0
Farooq-e-Azam Road - Rawalpindi,8825000.0
Green Acres Housing Society - Lahore,16550000.0
UMT Society - Lahore,8650000.0
Gulbahar Colony - Lahore,12125000.0
circular road - Karachi,9666666.666666666
Partal Town - Islamabad,3133333.333333333
Pindorian - Islamabad,4910000.0
Bilal Colony - Rawalpindi,16833333.333333332
Al-Safaa Garden - Karachi,5750000.0
Kamal Abad - Faisalabad,5200000.0
Tezab Mill Road - Faisalabad,5250000.0
Gulshan-e-Umair - Karachi,12000000.0
Intelligence Colony - Karachi,6066666.666666667
Rawal Enclave - Islamabad,4000000.0
Bilal Nagar - Faisalabad,3100000.0
Kamala Abad - Rawalpindi,5175000.0
Judicial Colony - Rawalpindi,20333333.33333333
Chaudhary Colony - Lahore,9000000.0
Al-Hilal Society - Karachi,16187500.0
Eastridge Housing Scheme - Rawalpindi,13000000.0
Jati Umra Road - Lahore,4500000.0
Prime Homes 1 - Lahore,6488235.294117647
Pir Naseer - Lahore,4216666.666666667
Gujjarpura - Lahore,8190000.0
Cosmopolitan Society - Karachi,24625000.0
Nayyab Villas - Lahore,8800000.0
Hajveeri Town - Faisalabad,3775000.0
Saddar - Faisalabad,11166666.666666666
Qasim Abad - Faisalabad,7500000.0
Umer Valley - Faisalabad,3650000.0
New Canal Park - Lahore,21000000.0
Stadium Road - Karachi,22300000.0
Judicial Town - Islamabad,12250000.0
Ideal Homes Society - Rawalpindi,4393750.0
Qasurpura - Lahore,5350000.0
Khurrianwala Town - Faisalabad,7000000.0
Shahra-e-Usman - Karachi,3910000.0
Gulshan-E-Mustafa Housing Society - Lahore,17000000.0
Kashmir Colony - Karachi,5400000.0
Khayaban-e-Ittehad Road - Karachi,14000000.0
Shahrah-e-Pakistan - Karachi,8500000.0
Karakoram Diplomatic Enclave - Islamabad,42500000.0
Nain Sukh - Lahore,4750000.0
Saeed Colony - Faisalabad,23714285.714285716
Mian Amiruddin Park - Lahore,6730000.0
Faisalabad Sangla Hill Road - Faisalabad,4000000.0
Numaish Chowrangi - Karachi,17722222.222222224
Abdullah Haroon Road - Karachi,17333333.333333332
Phulgran - Islamabad,8250000.0
Malipura - Lahore,14250000.0
Illahi Abad - Faisalabad,4500000.0
Dhok Mustaqeem Road - Rawalpindi,8050000.0
Dhoke Ratta - Rawalpindi,6000000.0
Gujjar Chowk - Karachi,10250000.0
GOR - Lahore,4500000.0
Hub River Road - Karachi,6500000.0
Abdullah Garden - Islamabad,11083333.333333334
Al-Manzar Society - Karachi,9800000.0
Fateh Jang Road - Islamabad,9010000.0
State Bank of Pakistan Staff Co-Operative Housing Society - Karachi,4100000.0
Raza Garden - Faisalabad,18500000.0
Khana Kacha Road - Lahore,2650000.0
Alpha Society - Lahore,14500000.0
Azmat Town - Islamabad,5600000.0
Capital Smart City - Rawalpindi,12639714.285714284
Saman Berg - Lahore,32166666.666666668
Abdullah City - Faisalabad,8000000.0
Chak 279/RB Kalan - Faisalabad,6250000.0
Green Park - Lahore,8250000.0
Bahadurabad - Lahore,3981250.0
Poonch Road - Lahore,19833333.33333333
Royal Avenue - Islamabad,11611111.111111112
Ismail City - Faisalabad,6000000.0
Mominpura Road - Lahore,4840000.0
Angoori Bagh - Lahore,6921428.571428572
Madina Homes - Lahore,6666666.666666667
Siraj-ud-Daula Road - Karachi,9850000.0
Zero Point - Islamabad,14166666.666666666
Chak 8 JB Punj Garain - Faisalabad,1400000.0
Sarwar Road - Rawalpindi,25000000.0
Lakhu Road - Rawalpindi,2400000.0
Race Course Road - Lahore,25800000.0
Khalid Abad - Faisalabad,7750000.0
Taj Residencia - Rawalpindi,10000000.0
Chur Chowk - Rawalpindi,11750000.0
Shama Road - Lahore,7580000.0
Jhanda Chichi - Rawalpindi,25000000.0
Gulistan Fatima Colony - Rawalpindi,3566666.6666666665
Chapal Skymark - Karachi,41250000.0
Iqbal Avenue - Lahore,27132142.85714286
New Katarian - Rawalpindi,23750000.0
Shanghai Road - Lahore,7493000.0
Gulshan-e-Habib - Faisalabad,1500000.0
Kiran Villas - Faisalabad,2500000.0
Sher Zaman Colony - Rawalpindi,14733333.333333334
Yousaf Colony - Rawalpindi,9055555.555555556
HBFC Housing Society - Lahore,33809090.90909091
Mushtaq Park - Phase 3 - Lahore,22500000.0
Liaqat Road - Faisalabad,8800000.0
Samanabad Road - Faisalabad,10000000.0
Saqib Town - Lahore,13166666.666666666
Rasool Park - Faisalabad,5375000.0
Gulshan-e-Jami - Karachi,20000000.0
Gadap Road - Karachi,4500000.0
Qilla Gujjar Singh - Lahore,14333333.333333334
Wapda Colony - Lahore,8100000.0
Rehmanpura (Harbanspura) - Lahore,18000000.0
Gulshan-e-Safeer - Rawalpindi,3600000.0
Public Health Society - Lahore,8566666.666666666
Bhogiwal - Lahore,12700000.0
Shah Khawar Town - Lahore,12100000.0
Gulshan-e-Ahbab - Lahore,4150000.0
Chaudhary Jan Colony - Rawalpindi,11500000.0
NFC 2 - Lahore,30000000.0
Chak 208 RB Dogranwala - Faisalabad,3500000.0
Hakim Muhammad Ajmal Khan Road - Rawalpindi,15000000.0
Adan Villas - Lahore,8000000.0
Younas Town - Faisalabad,6200000.0
Ranchore Line Bazar - Karachi,3700000.0
H-11 - Islamabad,10000000.0
Ilahi Abad - Faisalabad,4500000.0
Murree Road - Islamabad,6333333.333333333
Al Rehmat Villas - Faisalabad,4266666.666666667
McLeod Road - Lahore,21000000.0
Gulshan-e-Malir - Karachi,5750000.0
Mediacom Avenue - Faisalabad,18750000.0
Railway Scheme 9 - Rawalpindi,5460000.0
Laraib Garden - Karachi,5325000.0
Police Foundation Housing Society - Islamabad,12125000.0
Gulshan-e-Yaseen Housing Society - Lahore,3366666.6666666665
Saroba Gardens Housing Society - Lahore,13500000.0
Shadman Colony - Faisalabad,14750000.0
Faizabad - Rawalpindi,5625000.0
Al-Wahab Garden - Phase 1 - Lahore,4000000.0
Green Park Society - Lahore,9325000.0
Sher Shah Suri Road - Karachi,4575000.0
Gulshan Colony - Lahore,13214285.714285716
LDA City - Lahore,5366666.666666667
Ali Town - Faisalabad,7250000.0
Old Queens Road - Karachi,22500000.0
9th Avenue - Islamabad,24500000.0
Rifle Range Road - Lahore,13733333.333333334
C-19 - Islamabad,4700000.0
Park View City - Islamabad,23038461.53846154
Cooper Road - Lahore,10354666.666666666
Gulshan-e-Ali Housing Scheme - Faisalabad,2700000.0
Top City 1 - Islamabad,4732000.0
Diamond City - Karachi,10483333.333333334
Farooqabad - Faisalabad,8250000.0
Ferozepur City - Lahore,8600000.0
Jagiot Road - Islamabad,3100000.0
Tench Road - Rawalpindi,3200000.0
Mohallah Raja Sultan - Rawalpindi,8000000.0
Railway Officers Colony - Lahore,18500000.0
Times Residency - Karachi,4700000.0
Batapur - Lahore,5780000.0
Sunfort Gardens - Lahore,12576470.588235294
Gawalmandi - Lahore,9000000.0
Montgomery Road - Lahore,20000000.0
Jalal Colony - Lahore,13833333.333333334
Sahianwala - Faisalabad,4800000.0
Ameen Town - Rawalpindi,7000000.0
Kallar Syedan - Rawalpindi,16000000.0
Shehzad Town - Islamabad,17966666.666666668
Jinnah Colony - Faisalabad,4500000.0
Others - Islamabad,9266666.666666666
Venus Housing Scheme - Lahore,12825000.0
Saadi Park - Lahore,2800000.0
Defence Fort Housing Scheme - Faisalabad,4650000.0
Supreme Villas - Lahore,25000000.0
Civil Defence - Lahore,15500000.0
Javed Colony - Ghazi Road - Lahore,5500000.0
Murababad - Faisalabad,2500000.0
Rawat Enclave - Rawalpindi,5500000.0
Faisal Ghuman Road - Lahore,9500000.0
Circular Road - Faisalabad,3200000.0
Imam Bara Road - Rawalpindi,15325000.0
Royal Defence Tower - Karachi,16000000.0
Chak Bahga - Faisalabad,6000000.0
Ghousia Colony - Rawalpindi,15250000.0
Teachers Society - Karachi,9033333.333333334
Zafar ul Haq Road - Rawalpindi,8000000.0
Yazdani Road - Lahore,4550000.0
Shah Khalid Colony - Rawalpindi,6628571.428571428
DHA City Karachi - Karachi,13900000.0
Judicial Employees Coop Housing Society - Faisalabad,20250000.0
Sunderdas Road - Lahore,24000000.0
PTV Colony - Islamabad,4500000.0
Raheemabad - Rawalpindi,6500000.0
Sharaqpur Road - Lahore,3841379.3103448274
Zone 5 - Islamabad,18500000.0
Mumtaz Colony - Rawalpindi,11625000.0
Abu Alkhair Road - Lahore,9500000.0
F-15 - Islamabad,18509090.90909091
Tumair - Islamabad,2200000.0
Iqbal Town - Faisalabad,5000000.0
Azizabad - Rawalpindi,3500000.0
Asif Town - Lahore,7000000.0
Dhoke Dalal Road - Rawalpindi,5600000.0
PAF Society - Lahore,13500000.0
Nooriabad - Karachi,6200000.0
Police Society - Karachi,38750000.0
Firdous Colony - Lahore,11500000.0
Samsani Road - Lahore,8500000.0
Gulfishan Town - Lahore,3500000.0
G-16 - Islamabad,18000000.0
Navy Housing Scheme Karsaz - Karachi,12500000.0
Sozo Town - Lahore,7250000.0
"Lahore, Punjab - Lahore",15250000.0
Chakbeli Road - Rawalpindi,11750000.0
Old Ravians Co-Operative Housing Society - Karachi,23500000.0
Mian Mir Colony - Lahore,5650000.0
Munir Garden - Lahore,6500000.0
Vista Homes - Faisalabad,7858333.333333333
Gulshan-e-Millat - Karachi,7014285.714285715
F-6 - Islamabad,43000000.0
Kuri Model Town - Islamabad,16250000.0
Golra Road - Islamabad,2200000.0
Sangjani - Islamabad,9900000.0
NIH Colony - Islamabad,36500000.0
Athal - Islamabad,3400000.0
Siddiqia Mill Colony - Faisalabad,3700000.0
Aiza Garden - Islamabad,8500000.0
IBL Housing Scheme - Lahore,3950000.0
Others - Rawalpindi,8110000.0
Rehmanabad - Rawalpindi,14300000.0
Stadium Road - Rawalpindi,14500000.0
Khayaban-e-Zohra - Lahore,16500000.0
Expo Avenue Society - Lahore,8400000.0
University Town - Islamabad,5940000.0
Dilawar Colony - Faisalabad,3500000.0
Committee Chowk - Rawalpindi,10000000.0
Jamal Homes - Lahore,9000000.0
"Islamabad, Islamabad Capital - Islamabad",4300000.0
Gulshan Rehman - Faisalabad,8500000.0
Queens Road - Lahore,20250000.0
Rang Mahal - Lahore,7500000.0
Kehkishan Colony No 2 - Faisalabad,7000000.0
Muzaffar Colony - Faisalabad,5000000.0
Garja - Rawalpindi,2900000.0
Ali Town - Lahore,14800000.0
Islamabad View Valley - Islamabad,7000000.0
Millat Road - Lahore,7833333.333333333
"Karachi, Sindh - Karachi",12000000.0
Naseerabad - Rawalpindi,7750000.0
Burj Mandi - Faisalabad,3500000.0
Hoshang Road - Karachi,17000000.0
Gul Colony - Lahore,5000000.0
Noor Jahan Road - Lahore,19100000.0
Al-Jannat Housing Society - Kahna - Lahore,4480000.0
Ayub Colony - Faisalabad,11500000.0
Model Colony - Rawalpindi,3700000.0
Wapda Town - Faisalabad,6960000.0
Al Madina Avenue - Lahore,8700000.0
Shahtaj Colony - Lahore,18000000.0
University Town - Faisalabad,25000000.0
Gulshan Farooq Scheme - Lahore,4900000.0
TECH Society - Lahore,42500000.0
Kuri - Islamabad,11000000.0
Raja Akhtar Road - Islamabad,8000000.0
Sui Gas Employees Cooperative Housing Society - Lahore,29666666.666666668
